LID,Glottocode,Language,WordOrderAPLex,WordOrderAPVLexFlexible,VFinalLex,VFinalOrFreeLex,VInitialLex,VMedialLex,WordOrderAPVBasicLex,WordOrderSVBasicLex,WordOrderAPBasicLex,WordOrderAVBasicLex,WordOrderPVBasicLex,PositionVBasicLex,PositionVBasicLexIsFinal,PositionVBasicLexIsFinalFree,PositionVBasicLexIsInitial,PositionVBasicLexIsMedial,WordOrderAPVSecondaryLex,WordOrderSVSecondaryLex,WordOrderAPSecondaryLex,WordOrderAVSecondaryLex,WordOrderPVSecondaryLex,PositionVSecondaryLex,PositionVSecondaryLexIsFinal,PositionVSecondaryLexIsFinalFree,PositionVSecondaryLexIsInitial,PositionVSecondaryLexIsMedial
345,salt1242,Salt-Yui,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
103,yaga1260,Hua,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
232,usar1243,Usarufa,,,,,,,,,,,,,,,,,,,,,,,,,,
358,suen1241,Suena,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
31,nucl1630,Barai,,,,,,,,,,,,,,,,,,,,,,,,,,
136,kobo1249,Kobon,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
153,mula1254,Mulaha,,,,,,,,,,,,,,,,,,,,,,,,,,
126,kate1253,Kâte,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
417,nucl1454,Yawa,,,,,,,,,,,,,,,,,,,,,,,,,,
402,ware1253,Warembori,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
366,burm1264,Burmeso,,,,,,,,,,,,,,,,,,,,,,,,,,
33,bauz1241,Bauzi,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
109,iauu1242,Iau,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
26,casu1237,Asmat,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
370,tele1256,Telefol,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
38,kuni1265,Boazi,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
131,kima1246,Kimaama,AO,rigid,final,final_or_free,other,other,AOV,head-dep,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
134,nort2930,Kiwai,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
211,ngka1235,Ngkalmpw Knwme,,free,,final_or_free,other,other,free,,,,,free,,TRUE,FALSE,FALSE,,,,,,,,,,
330,pawa1255,Pawaian,,,,,,,,,,,,,,,,,,,,,,,,,,
350,nucl1632,Sentani,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
212,nucl1633,Nimboran,,,,,,,,,,,,,,,,,,,,,,,,,,
190,else1239,Elseng,,,,,,,,,,,,,,,,,,,,,,,,,,
395,vani1248,Vanimo,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
403,wari1266,Waris,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
427,kark1258,Karkar,,,,,,,,,,,,,,,,,,,,,,,,,,
419,yess1239,Yessan-Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,
307,kris1246,Krisa,,,,,,,,,,,,,,,,,,,,,,,,,,
24,bumb1241,Arapesh,,,,,,,,,,,,,,,,,,,,,,,,,,
322,oksa1245,Oksapmin,,,,,,,,,,,,,,,,,,,,,,,,,,
14,alam1246,Alamblak,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
420,yima1243,Yimas,,free,,final_or_free,other,other,free,,,,,free,,TRUE,FALSE,FALSE,,,,,,,,,,
83,taia1239,Gapun,,,,,,,,,,,,,,,,,,,,,,,,,,
28,awtu1239,Awtuw,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
369,tehi1237,Tehit,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
20,amel1241,Amele,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
367,tauy1241,Tauya,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
