LID,Glottocode,Language,Macrorelation,LocusOfMarking,LocusOfMarkingBinned5,LocusOfMarkingBinned6
162,lezg1247,Lezgi,A,D,D,D
162,lezg1247,Lezgi,P,D,D,D
162,lezg1247,Lezgi,POSS,D,D,D
162,lezg1247,Lezgi,S,D,D,D
163,lugb1240,Logbara,A,D,D,D
163,lugb1240,Logbara,ATTR,DD,D,D
163,lugb1240,Logbara,P,Ø,Ø,Ø
163,lugb1240,Logbara,POSS,D,D,D
163,lugb1240,Logbara,S,D,D,D
165,gand1255,Luganda,A,H,H,H
165,gand1255,Luganda,ATTR,D,D,D
165,gand1255,Luganda,P,H,H,H
165,gand1255,Luganda,POSS,DD,D,D
165,gand1255,Luganda,S,H,H,H
167,masa1300,Maa,A,H+D,2,2
167,masa1300,Maa,ATTR,D,D,D
167,masa1300,Maa,P,h+D,D,2
167,masa1300,Maa,POSS,H+D,2,2
167,masa1300,Maa,S,H+D,2,2
168,nort2952,Maidu (Northeast),A,H+D,2,2
168,nort2952,Maidu (Northeast),P,D,D,D
168,nort2952,Maidu (Northeast),POSS,D,D,D
168,nort2952,Maidu (Northeast),S,H+D,2,2
169,mait1250,Maithili,A,H+D,2,2
169,mait1250,Maithili,P,D,D,D
169,mait1250,Maithili,S,H+D,2,2
170,mull1237,Malak-Malak,A,F+d,FloatingorClitic,2
170,mull1237,Malak-Malak,P,F,FloatingorClitic,F
170,mull1237,Malak-Malak,POSS,D,D,D
170,mull1237,Malak-Malak,S,F+d,FloatingorClitic,2
171,mand1415,Mandarin,A,Ø,Ø,Ø
171,mand1415,Mandarin,ATTR,Ø,Ø,Ø
171,mand1415,Mandarin,P,d,D,D
171,mand1415,Mandarin,POSS,d,D,D
171,mand1415,Mandarin,S,Ø,Ø,Ø
173,mang1381,Mangarayi,A,H+D,2,2
173,mang1381,Mangarayi,ATTR,D,D,D
173,mang1381,Mangarayi,P,H+D,2,2
173,mang1381,Mangarayi,POSS,H+D,2,2
173,mang1381,Mangarayi,S,H+D,2,2
175,maor1246,Maori,A,Ø,Ø,Ø
175,maor1246,Maori,P,D,D,D
175,maor1246,Maori,POSS,DD,D,D
175,maor1246,Maori,S,Ø,Ø,Ø
176,mapu1245,Mapudungun,A,H,H,H
176,mapu1245,Mapudungun,ATTR,Ø,Ø,Ø
176,mapu1245,Mapudungun,P,,,
176,mapu1245,Mapudungun,POSS,H,H,H
176,mapu1245,Mapudungun,S,H,H,H
177,marg1265,Margi,A,Ø,Ø,Ø
177,marg1265,Margi,ATTR,Ø,Ø,Ø
177,marg1265,Margi,P,Ø,Ø,Ø
177,marg1265,Margi,POSS,D,D,D
177,marg1265,Margi,S,Ø,Ø,Ø
178,mari1424,Marrithiyel,A,H+d,H,2
178,mari1424,Marrithiyel,P,H,H,H
178,mari1424,Marrithiyel,POSS,H,H,H
178,mari1424,Marrithiyel,S,H+d,H,2
179,mart1255,Martuthunira,A,D,D,D
179,mart1255,Martuthunira,P,D,D,D
179,mart1255,Martuthunira,POSS,D,D,D
179,mart1255,Martuthunira,S,D,D,D
180,wich1263,Mataco,A,H,H,H
180,wich1263,Mataco,ATTR,F,FloatingorClitic,F
180,wich1263,Mataco,P,H,H,H
180,wich1263,Mataco,POSS,H,H,H
180,wich1263,Mataco,S,H,H,H
181,maun1240,Mawng,A,H,H,H
181,maun1240,Mawng,P,H,H,H
181,maun1240,Mawng,POSS,Ø,Ø,Ø
181,maun1240,Mawng,S,H,H,H
184,misk1235,Miskito,A,H,H,H
184,misk1235,Miskito,P,Ø,Ø,Ø
184,misk1235,Miskito,POSS,H,H,H
184,misk1235,Miskito,S,H,H,H
186,sanm1295,Mixtec (Chalcatongo),A,H,H,H
186,sanm1295,Mixtec (Chalcatongo),ATTR,Ø,Ø,Ø
186,sanm1295,Mixtec (Chalcatongo),P,Ø,Ø,Ø
186,sanm1295,Mixtec (Chalcatongo),POSS,Ø,Ø,Ø
186,sanm1295,Mixtec (Chalcatongo),S,H,H,H
188,halh1238,Mongolian (Khalkha),A,D,D,D
188,halh1238,Mongolian (Khalkha),ATTR,D,D,D
188,halh1238,Mongolian (Khalkha),P,D,D,D
188,halh1238,Mongolian (Khalkha),POSS,D,D,D
188,halh1238,Mongolian (Khalkha),S,D,D,D
191,siwa1245,Motuna,A,H+D,2,2
191,siwa1245,Motuna,P,H+D,2,2
191,siwa1245,Motuna,POSS,D,D,D
191,siwa1245,Motuna,S,H+D,2,2
192,movi1243,Movima,A,H,H,H
192,movi1243,Movima,P,H,H,H
192,movi1243,Movima,S,H,H,H
193,east2379,Mparntwe Arrernte,A,H+D,2,2
193,east2379,Mparntwe Arrernte,P,D,D,D
193,east2379,Mparntwe Arrernte,POSS,D,D,D
193,east2379,Mparntwe Arrernte,S,H+D,2,2
196,murr1258,Murrinh-patha,A,H+d,H,2
196,murr1258,Murrinh-patha,P,H+d,H,2
196,murr1258,Murrinh-patha,POSS,Ø,Ø,Ø
196,murr1258,Murrinh-patha,S,H+d,H,2
197,naha1261,Nahali,A,H+D,2,2
197,naha1261,Nahali,P,D,D,D
197,naha1261,Nahali,POSS,D,D,D
197,naha1261,Nahali,S,H+D,2,2
198,naka1260,Nakkara,A,H,H,H
198,naka1260,Nakkara,P,H,H,H
198,naka1260,Nakkara,POSS,H/D,2,
198,naka1260,Nakkara,S,H,H,H
199,nama1264,Nama,A,Ø,Ø,Ø
199,nama1264,Nama,ATTR,Ø,Ø,Ø
199,nama1264,Nama,P,D,D,D
199,nama1264,Nama,POSS,d,D,D
199,nama1264,Nama,S,Ø,Ø,Ø
200,sout2994,Nambikwara,A,H,H,H
200,sout2994,Nambikwara,ATTR,F,FloatingorClitic,F
200,sout2994,Nambikwara,P,H,H,H
200,sout2994,Nambikwara,POSS,H,H,H
200,sout2994,Nambikwara,S,H,H,H
201,nana1257,Nanai,A,H+D,2,2
201,nana1257,Nanai,ATTR,Ø,Ø,Ø
201,nana1257,Nanai,P,D,D,D
201,nana1257,Nanai,POSS,H,H,H
201,nana1257,Nanai,S,H+D,2,2
202,natc1249,Natchez,A,H,H,H
202,natc1249,Natchez,P,H,H,H
202,natc1249,Natchez,POSS,H,H,H
202,natc1249,Natchez,S,H,H,H
205,nene1249,Nenets (Tundra),A,H+D,2,2
205,nene1249,Nenets (Tundra),ATTR,D,D,D
205,nene1249,Nenets (Tundra),P,h+D,D,2
205,nene1249,Nenets (Tundra),POSS,D,D,D
205,nene1249,Nenets (Tundra),S,H+D,2,2
206,nepa1254,Nepali,A,H+D,2,2
206,nepa1254,Nepali,P,D,D,D
206,nepa1254,Nepali,POSS,D,D,D
206,nepa1254,Nepali,S,H+D,2,2
207,nara1262,Nera,A,H+D,2,2
207,nara1262,Nera,P,D,D,D
207,nara1262,Nera,POSS,Ø,Ø,Ø
207,nara1262,Nera,S,H+D,2,2
208,nezp1238,Nez Perce,A,H+D,2,2
208,nezp1238,Nez Perce,P,H+D,2,2
208,nezp1238,Nez Perce,POSS,D,D,D
208,nezp1238,Nez Perce,S,H+D,2,2
210,wang1291,Ngiyambaa,A,D on H,FloatingorClitic,D on H
210,wang1291,Ngiyambaa,ATTR,D,D,D
210,wang1291,Ngiyambaa,P,D on H,FloatingorClitic,D on H
210,wang1291,Ngiyambaa,POSS,D,D,D
210,wang1291,Ngiyambaa,S,D,D,D
211,ngka1235,Ngkalmpw Knwme,A,H+D,2,2
211,ngka1235,Ngkalmpw Knwme,ATTR,Ø,Ø,Ø
211,ngka1235,Ngkalmpw Knwme,P,H+D,2,2
