PoS,ProjectionType,SyntacticDomain,SemanticDomain,ClausalDomain,Definition
def,terminal,nominal,general,argument,definite argument
pl-anim,terminal,nominal,general,argument,animate plural referent
3pl-anim,terminal,nominal,non-SAP,argument,3rd person plural animate reference
3duPro-high,terminal,nominal,non-SAP,argument,3rd person dual pronoun with a higher discourse rank than ‘3plPro-low’ (where rank is determined by discourse factors with language-specific weights)
3duPro-low,terminal,nominal,non-SAP,argument,3rd person dual pronoun with a lower discourse rank than ‘3plPro-low’ (where rank is determined by discourse factors with language-specific weights)
3sg-high,,nominal,non-SAP,,3rd person singular argument with a higher discourse rank than ‘3sg-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3du-high,,nominal,non-SAP,,3rd person dual argument with a higher discourse rank than ‘3sg-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3pl-high,,nominal,non-SAP,,3rd person plural argument with a higher discourse rank than ‘3sg-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3sg-low,,nominal,non-SAP,,3rd person singular argument with a lower discourse rank than ‘3sg-anim-high’ (where rank is determined by discourse factors with language-specific weights)
3du-low,,nominal,non-SAP,,3rd person dual argument with a lower discourse rank than ‘3sg-anim-high’ (where rank is determined by discourse factors with language-specific weights)
3pl-low,,nominal,non-SAP,,3rd person plural argument with a lower discourse rank than ‘3sg-anim-high’ (where rank is determined by discourse factors with language-specific weights)
3sg-anim,,nominal,non-SAP,,3rd person singular animate argument
3du-anim,,nominal,non-SAP,,3rd person dual animate argument
N-non-kin-sg,terminal,nominal,noun-like,argument,singular noun apart from kin terms
N-non-kin-pl,terminal,nominal,noun-like,argument,plural noun apart from kin terms
N-highest,,nominal,noun-like,,noun denoting the referent highest in discourse (e.g. such as PROX in Algonquian languages)
N-non-highest,,nominal,noun-like,,noun denoting any referent than the highest one in discourse (e.g. such as PROX in Algonquian languages)
3pl-x,,nominal,non-SAP,,"3rd person plural argument with unknown/unclear referential properties that result in a split, if there is a split triggered by unclear referential properties 3pl-b for the other member of the opposition."
3pl-y,,nominal,non-SAP,,"3rd person plural argument with unknown/unclear referential properties that result in a split, if there is a split triggered by unclear referential properties 3pl-a for the other member of the opposition."
Pro-highest,terminal,nominal,non-SAP,,pronoun denoting the 3rd referent highest in discourse (e.g. such as PROX in Algonquian languages)
Pro-non-highest,terminal,nominal,non-SAP,,pronoun denoting any referent other than the highest one in discourse (e.g. such as PROX in Algonquian languages)
highest,,nominal,general,,the referent highest in discourse
2-high,,nominal,SAP,,2nd person argument with a higher discourse rank than ‘2-low’ (where rank is determined by discourse factors with language-specific weights)
3pl-hum,,nominal,non-SAP,,3rd person plural human argument
3sgPro-inanim,terminal,nominal,non-SAP,argument,3rd person singular pronouns with inanimate reference
3duPro-inanim,terminal,nominal,non-SAP,argument,3rd person dual pronoun with inanimate reference
3plPro-inanim,terminal,nominal,non-SAP,argument,3rd person plural pronouns with inanimate reference
N-count,,nominal,noun-like,,countable noun
N-uncount,,nominal,noun-like,,uncountable noun
3sgPro-count,terminal,nominal,non-SAP,,3rd person singular pronoun referring to a countable entity
3sgPro-uncount,terminal,nominal,non-SAP,,3rd person singular pronoun referring to an uncountable entity
1du.INCL.Pro,terminal,nominal,SAP,argument,1st person dual inclusive pronoun
1du.EXCL.Pro,terminal,nominal,SAP,argument,1st person dual exclusive pronoun
non-highest,,nominal,general,,the referent non-highest in discourse
1pl.INCL.Pro,terminal,nominal,SAP,,1st person plural inclusive pronoun
1pl.EXCL.Pro,terminal,nominal,SAP,,1st person plural exclusive pronoun
3sg-non-hum,terminal,nominal,non-SAP,argument,3rd person sg. with non-human referent
3sg-hum,terminal,nominal,non-SAP,argument,3rd person sg. with human referent
3pl-non-hum,terminal,nominal,non-SAP,argument,3rd person pl. non-human referent
3pl-hum-ref,terminal,nominal,non-SAP,argument,3rd person pl. human referent
3sgPro-fem79,terminal,nominal,non-SAP,argument,French 3rd person feminine pronoun
3plPro-fem79,terminal,nominal,non-SAP,argument,French 3p person plural feminine pronoun
3sgPro-masc79,terminal,nominal,non-SAP,argument,French 3rd person singular masculine pronoun
3plPro-masc79,terminal,nominal,non-SAP,argument,French 3rd person plural masculine pronoun
2sg-high,,nominal,SAP,,2nd person singular high
2pl-high,,nominal,SAP,,2nd person plural high
3sg-hum-high,,nominal,non-SAP,,3rd person singular human argument with a higher discourse rank than ‘3sg-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3pl-hum-high,,nominal,non-SAP,,3rd person plural human argument with a higher discourse rank than ‘3sg-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3sg-y,,nominal,non-SAP,,"3rd person singular argument with unknown/unclear referential properties that result in a split, if there is a split triggered by unclear referential properties 3pl-a for the other member of the opposition."
3sg-x,,nominal,non-SAP,,"3rd person singular argument with unknown/unclear referential properties that result in a split, if there is a split triggered by unclear referential properties 3pl-b for the other member of the opposition."
N1-1517,terminal,nominal,noun-like,argument,Gahuku nouns taking the object suffix
N2-1517,terminal,nominal,noun-like,argument,Gahuku nouns not taking the object suffix
2sgMH,,nominal,SAP,,"2nd person singular, mid honorific"
2plMH,,nominal,SAP,,"2nd person plural, mid honorific"
2sgHH,,nominal,SAP,,"2nd person singular, high honorific"
2plHH,,nominal,SAP,,"2nd person plural, high honorific"
3sgMH,,nominal,non-SAP,,"third person singular, mid honorific"
3plMH,,nominal,non-SAP,,"third person plural, mid honorific"
3sgHH,,nominal,non-SAP,,"third person singular, high honorific"
3plHH,,nominal,non-SAP,,"third person plural, high honorific"
N1sg-2471,terminal,nominal,noun-like,argument,Serbian-Croatian nouns in SG that distinguish NOM and ACC
N2pl-2471,terminal,nominal,noun-like,argument,Serbian-Croatian nouns in PL that distinguish NOM and ACC
N3sg-2471,terminal,nominal,noun-like,argument,Serbian-Croatian nouns in SG that do not distinguish NOM and ACC
N4pl-2471,terminal,nominal,noun-like,argument,Serbian-Croatian nouns in PL that do not distinguish NOM and ACC
3sgPro-highest,terminal,nominal,non-SAP,,pronoun denoting the 3rd sg. referent highest in discourse (e.g. such as PROX in Algonquian languages)
3plPro-highest,terminal,nominal,non-SAP,,pronoun denoting the 3rd pl. referent highest in discourse (e.g. such as PROX in Algonquian languages)
3sgPro-non-highest,terminal,nominal,non-SAP,,pronoun denoting any 3rd sg. referent other than the highest one in discourse (e.g. such as PROX Algonquian languages)
3plPro-non-highest,terminal,nominal,non-SAP,,pronoun denoting any 3rd pl. referent other than the highest one in discourse (e.g. such as PROX Algonquian languages)
N-common-non-kin,terminal,nominal,noun-like,argument,noun apart from kin terms and proper nouns
N-inanim-high,,nominal,noun-like,argument,inanimate noun with a higher discourse rank than ‘N-anim-low’ (where rank is determined by discourse factors with language-specific weights)
N-inanim-low,,nominal,noun-like,argument,inanimate noun with a lower discourse rank than ‘N-anim-high’ (where rank is determined by discourse factors with language-specific weights)
1sg-fem340,,verbal,verb-like,predicate,Russian S/A past feminine agreement
2sg-fem340,,verbal,verb-like,predicate,Russian S/A past feminine agreement
3sg-fem340,,verbal,verb-like,predicate,Russian S/A past feminine agreement
3sg-neu340,,verbal,verb-like,predicate,Russian S/A past neuter agreement
1sg-masc340,,verbal,verb-like,predicate,Russian S/A past masculine agreement
1sg-neu340,,verbal,verb-like,predicate,Russian S/A past neuter agreement
2sg-masc340,,verbal,verb-like,predicate,Russian S/A past masculine agreement
2sg-neu340,,verbal,verb-like,predicate,Russian S/A past neuter agreement
3sg-masc340,,verbal,verb-like,predicate,Russian S/A past masc agreement
,,nominal,,,All referential types
N1-2831,,nominal,,,Ancient Greek feminine and masculine nouns in singular and plural
N2-2831,,nominal,,,Ancient Greek feminine and masculine nouns in dual and neuter nouns in all numbers
3sgPro-neu2831,terminal,nominal,,,Ancient Greek neuter 3sg pronoun
3sgPro-fem2831,terminal,nominal,,,Ancient Greek feminine 3sg pronoun
3sgPro-masc2831,terminal,nominal,,,Ancient Greek masculine 3sg pronoun
3plPro-masc2831,terminal,nominal,,,Ancient Greek masculine 3pl pronoun
3plPro-fem2831,terminal,nominal,,,Ancient Greek feminine 3pl pronoun
3plPro-neu2831,terminal,nominal,,,Ancient Greek neuter 3pl pronoun
N-masc110,terminal,nominal,,argument,"Icelandic masculine nouns of strong and weak declension, no NOM/ACC syncretism"
N-fem.neu110,terminal,nominal,,argument,"Icelandic feminine nouns of weak declension and a minor masculine strong class, show NOM/ACC syncretism in plural only AND Icelandic neuter and feminine nouns of strong declension, show NOM/ACC syncretism in sg and pl"
3sgPro-masc110,terminal,nominal,non-SAP,argument,Icelandic 3rd person singular masculine pronoun
3sgPro-fem110,terminal,nominal,non-SAP,argument,Icelandic 3rd person singular feminine pronoun
3sgPro-neu110,terminal,nominal,non-SAP,argument,Icelandic 3rd person singular neuter pronoun
3plPro-masc110,terminal,nominal,non-SAP,argument,Icelandic 3rd person plural masculine pronoun
3plPro-fem110,terminal,nominal,non-SAP,argument,Icelandic 3rd person plural feminine pronoun
3plPro-neu110,terminal,nominal,non-SAP,argument,Icelandic 3rd person plural neuter pronoun
