LID,Glottocode,Language,HasCase,IsCaseCodedForDefaultPredicates,IsCaseCodedForDitransitivePredicates,IsCaseCodedForOtherPredicates,HasAgreement,IsAgreementCodedForDefaultPredicates,IsAgreementCodedForDitransitivePredicates,IsAgreementCodedForOtherPredicates,IsAgreementMarkersCodedForDefaultPredicates,IsAgreementMarkersCodedForDitransitivePredicates,IsAgreementMarkersCodedForOtherPredicates,PersonNumberCategory
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,3pl-high
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,3sg-low
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,3sg-high
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,1pl
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,2pl
100,hitt1242,Hittite,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,
43,cane1242,Canela-Krahô,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
101,hixk1239,Hixkaryana,TRUE,TRUE,TRUE,,TRUE,TRUE,,,FALSE,,,
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,1sg
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,1pl
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,2sg
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,2pl
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,3sg-high
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,2du
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,1du
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,3du-high
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,3pl-high
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,3du-low
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,3pl-low
103,yaga1260,Hua,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,3sg-low
104,hual1241,Quechua (Huallaga),TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,,
2994,sanf1258,Huave (San Francisco del Mar),TRUE,TRUE,,,TRUE,TRUE,,,,,,
107,hung1274,Hungarian,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,
108,hurr1240,Hurrian,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
109,iauu1242,Iau,TRUE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
110,icel1247,Icelandic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,
111,ikkk1242,Ik,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,1sg
111,ikkk1242,Ik,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,1pl.incl
111,ikkk1242,Ik,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,1pl.excl
111,ikkk1242,Ik,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,2sg
111,ikkk1242,Ik,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,2pl
111,ikkk1242,Ik,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,3sg
111,ikkk1242,Ik,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,3pl
113,ines1240,Ineseño,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1sg
113,ines1240,Ineseño,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1pl
113,ines1240,Ineseño,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,2sg
