LID,Glottocode,Language,HasClusivity,ClusivityType,HasClusivityAsPerson,HasClusivityWithMinimalNumberSystem
2947,darg1241,Dargi (Chirag),TRUE,plain i/e type,FALSE,FALSE
2950,darg1241,Dargi (Urakhi),FALSE,no i/e,FALSE,FALSE
2948,darg1241,Dargi (Mehweb),FALSE,no i/e,FALSE,FALSE
2949,darg1241,Dargi (Icari),FALSE,no i/e,FALSE,FALSE
659,kala1377,Kala Lagaw La,TRUE,excl as person type,TRUE,FALSE
658,yany1243,Yanyuwa,TRUE,excl as person type,TRUE,FALSE
2967,darg1241,Dargi (Kaitag),TRUE,plain i/e type,FALSE,FALSE
2450,kamb1299,Kambera,TRUE,plain i/e type,FALSE,FALSE
467,paam1238,Paamese,TRUE,excl as person type,TRUE,FALSE
542,kili1267,Kilivila,TRUE,excl as person type,TRUE,FALSE
737,sali1295,Saliba,TRUE,plain i/e type,FALSE,FALSE
1144,tiri1258,Tinrin,TRUE,min/aug type,TRUE,TRUE
2573,teop1238,Teop,TRUE,plain i/e type,FALSE,FALSE
2786,yape1248,Yapese,TRUE,excl as person type,TRUE,FALSE
2959,puyu1239,Puyuma,TRUE,plain i/e type,FALSE,FALSE
