ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
1517,Alekano,,-6,145.42,alek1238,gah,,"Gahuku, Alekano",Eastern Highlands,,Trans New Guinea,East New Guinea Highlands,Gorokan,Gahuku,,,,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
1518,Gadsup,,-6.25,146,gads1258,gaj,,Gadsup,Eastern Highlands,,Trans New Guinea,East New Guinea Highlands,Kainantu,,,,,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
1519,Oromo (Boraana),,4.5,38.5,bora1271,gax,45,"Oromo (Boraana), Afan Oromo, Southern Oromo, ""Galla"", ""Gallinya"", ""Galligna""",Cushitic,,,Afroasiatic,Eastern Cushitic,,,,,,,,,Africa,Africa,Greater Abyssinia,Africa
1520,Oromo (West-Central),,9,37,west2721,gaz,6658; 7142; 3300; 3304; 45,Oromo (West-Central),Cushitic,,,Afroasiatic,Eastern Cushitic,,,,,,,,,Africa,Africa,Greater Abyssinia,Africa
1521,Bandi,,8.08,-10.25,band1352,bza,5720,Bandi,Mande,,Niger-Kordofanian,Macro-Niger-Congo,West Mande,,,,,,,,,Africa,Africa,African Savannah,Africa
1522,Karadjeri,,-19,122,kara1476,gbd,,Karadjeri,Pama-Nyungan,,,Macro-Pama-Nyungan,Southwestern Pama-Nyungan,,,,,,,,hg,Australia,Australia,S Australia,Pacific
1523,Galela,,2.42,128.33,gale1259,gbi,,Galela,West Papuan,,,,North Halmaheran,,,,,,,,,Pacific,NG and Oceania,Oceania,Pacific
1524,Gadaba,,19,83.67,bodo1267,gbj,,"Gadba,Gadaba",Austroasiatic,,,,Munda,,,,,,,,,Eurasia,S/SE Asia,Indic,Eurasia
1526,Gwari,,9.5,7,gbar1246,gby,,Gwari,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Nupoid,,,,,,,,,Africa,Africa,African Savannah,Africa
1527,Mali,,-4.83,152.25,mali1284,gcc,,"Mali, Gaktai",East New Britain,Baining-Taulil,,,,,,,,,,,,Pacific,NG and Oceania,N Coast New Guinea,Pacific
1528,Gude,,10.42,13.42,gude1246,gde,13370; 3524,Gude,Chadic,,,Afroasiatic,Biu-Mandara (Central Chadic),,,,,,,,,Africa,Africa,African Savannah,Africa
1529,Guduf,,11.23,13.8,gudu1252,gdf,,Guduf,Chadic,,,Afroasiatic,Biu-Mandara (Central Chadic),,,,,,,,,Africa,Africa,African Savannah,Africa
1530,Laal,,10,17.67,laal1242,gdm,,Laal,Laal,,,,,,,,,,,,,Africa,Africa,African Savannah,Africa
