LID,Glottocode,Language,NPHasAgreement,NPHasConstructMarkers,NPHasGovernment,NPHasOvertMarking,NPHasAdjAgreement,NPHasAdjConstructMarkers,NPHasAdjGovernment,NPHasAdjOvertMarking
675,kaba1278,Circassian (East),,,,,,,,
676,khor1267,Kurmanjî,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
677,swed1254,Swedish,TRUE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
678,bulg1262,Bulgarian,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
679,udmu1245,Udmurt,,,,TRUE,,,,TRUE
680,mans1258,Mansi,TRUE,,,TRUE,,,,FALSE
681,khan1273,Khanty,TRUE,TRUE,,TRUE,,,,FALSE
682,yuca1254,Yucatec,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
683,roma1327,Romanian,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
687,hopi1249,Hopi,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
700,nort2671,Saami (North),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE
701,sout2674,Saami (South),,TRUE,,TRUE,,TRUE,,TRUE
702,lule1254,Saami (Lule),,TRUE,,TRUE,,TRUE,,TRUE
703,pite1240,Saami (Pite),,TRUE,,TRUE,,TRUE,,TRUE
704,umes1235,Saami (Ume),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
705,skol1241,Saami (Skolt),,TRUE,,TRUE,,TRUE,,TRUE
706,inar1241,Saami (Inari),,TRUE,,TRUE,,TRUE,,TRUE
707,ters1235,Saami (Ter),,TRUE,,TRUE,,TRUE,,TRUE
708,akka1237,Saami (Akkala),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
709,kild1236,Saami (Kildin),,TRUE,TRUE,TRUE,,TRUE,,TRUE
710,faro1244,Faroese,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
711,norw1259,Norwegian (Bokmål),TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
712,norw1258,Norwegian (Nynorsk),TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
713,fore1265,Enets (Forest),,,,FALSE,,,,FALSE
715,scot1245,Scottish Gaelic,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
716,fore1274,Nenets (Forest),,,,FALSE,,,,FALSE
717,komi1269,Komi (Permyak),,,,TRUE,,,,TRUE
725,ital1282,Italian,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
726,stan1289,Catalan (Standard),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
727,camp1261,Sardinian,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
734,dale1238,Dalska,,,,,,,,
736,taki1248,Takia,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
737,sali1295,Saliba,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
738,even1260,Even,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
748,azer1255,Azerbaijani,,,,FALSE,,,,FALSE
791,mong1331,Khamnigan,,,,FALSE,,,,FALSE
798,balk1252,Romani (Sepecides),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
805,uzbe1247,Uzbek,TRUE,,,TRUE,,,,TRUE
814,east2295,Yiddish,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
824,abaz1241,Abaza,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
834,cypr1248,Arabic (Kormakiti),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
863,assy1241,Neo-Aramaic (Assyrian),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
872,akhv1239,Akhvakh,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
879,alut1245,Alutor,TRUE,,,TRUE,TRUE,,,TRUE
880,sout2694,Altai (Southern),,,,FALSE,,,,FALSE
895,andi1255,Andi,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
917,arch1244,Archi,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
935,anei1239,Anejom,,,,FALSE,,,,FALSE
942,avar1256,Avar,TRUE,,,TRUE,TRUE,,,TRUE
970,bats1242,Tsova-Tush,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
987,budu1248,Budukh,,,,FALSE,,,,FALSE
1062,berb1259,Berbice Dutch Creole,,,,FALSE,,,,FALSE
1067,bret1244,Breton,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1094,bash1264,Bashkir,,,,FALSE,,,,FALSE
1095,buri1258,Buriat,,,,FALSE,,,,FALSE
1118,cayu1261,Cayuga,,,,,,,,
1149,cham1309,Chamalal,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1153,shor1247,Shor,,,,FALSE,,,,FALSE
1181,crim1257,Tatar (Crimean),,,,FALSE,,,,FALSE
1183,corn1251,Cornish,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
