"LID","VInflAktionsart.Pre.Presence","VInflApplicative.Pre.Presence","VInflAspect.Pre.Presence","VInflCausative.Pre.Presence","VInflClassifier.Pre.Presence","VInflConnective.Pre.Presence","VInflConstruct.Pre.Presence","VInflControl.Pre.Presence","VInflDeixis.Pre.Presence","VInflVoice.Pre.Presence","VInflFocus.Pre.Presence","VInflPosterior.Pre.Presence","VInflGender.Pre.Presence","VInflIllocution.Pre.Presence","VInflMA.Pre.Presence","VInflMN.Pre.Presence","VInflModality.Pre.Presence","VInflMood.Pre.Presence","VInflMotion.Pre.Presence","VInflMSE.Pre.Presence","VInflNominalizer.Pre.Presence","VInflNumber.Pre.Presence","VInflPerson.Pre.Presence","VInflPolarity.Pre.Presence","VInflPotentialis.Pre.Presence","VInflQuantificational.Pre.Presence","VInflReflexive_and_Reciprocal.Pre.Presence","VInflRECIP.Pre.Presence","VInflReferential.Pre.Presence","VInflReflexive.Pre.Presence","VInflRepetition.Pre.Presence","VInflReversative.Pre.Presence","VInflSemistem.Pre.Presence","VInflSpatial.Pre.Presence","VInflStatus.Pre.Presence","VInflSwitch_reference.Pre.Presence","VInflTense_and_Evidential.Pre.Presence","VInflTA.Pre.Presence","VInflTAM.Pre.Presence","VInflTense.Pre.Presence","VInflTM.Pre.Presence","VInflValence.Pre.Presence","VInflVersion.Pre.Presence"
558,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
567,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
568,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
580,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
581,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,FALSE,,,
582,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,
583,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
612,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,
619,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
620,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
632,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
633,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
635,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,
641,,,FALSE,FALSE,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
642,,,,,,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,FALSE,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,,,,,,,,,,FALSE,,,,,
646,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,
648,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
654,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
655,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,,,,,FALSE,,,,
658,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,
668,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,
669,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,FALSE,,,,,FALSE,,,,,FALSE,,,FALSE,,,,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,FALSE,,,FALSE
677,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
678,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,
679,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
680,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,
681,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,
683,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,
685,,,FALSE,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,,,,,,,,,
686,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,
687,FALSE,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
