"LID","VInlfCatSurveyComplete","VBipartiteStem.Presence","VInflCat","VInflMacrocategories","VInflCatAndAgrMax.n","VInflCatMax.n","VInflCatMax.binned3","VInflCatAndAgrMax.binned3","VInflCatAndAgrFmtvMax.n","VInflCatFmtvMax.n","VInflCatandAgrFmtvMax.binned3","VAnyIncorporation.Presence","VInflExponence","VNounIncorporation.Presence","VPhonCoherence.Presence","VAgrAllPre.Presence","VAgrAnyPre.Presence","VProsCoherence.Presence","VAgrRoles","VInflMax.n","VSynCoherence.Presence","VInflMax.binned3","VIncorporationVorN.Presence","VIncorporationV.Presence"
2024,,,"Aspect,Mood,Polarity,TAM,TE,Voice","operators,TAM+,valence",9,6,"low","medium",8,3,"medium",FALSE,"cumulative",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",17,TRUE,"medium",,
3239,TRUE,,"Aspect,Causative,Conditional,Deixis,Number,Status,Tense,Version","number,pragmatic,TAM+,valence",10,8,"medium","high",8,7,"medium",FALSE,"distributive",,,FALSE,TRUE,,"A-default,U-default",18,,"medium",,
420,TRUE,,"Aspect,Deixis,Mood,Number,Posterior,Tense,Voice","number,pragmatic,TAM+,valence",10,7,,"high",6,,"low",FALSE,"distributive",,,TRUE,TRUE,,"A-default,B-default,U-default",16,,"medium",,
411,TRUE,,"Applicative,Aspect,Causative,Deixis,Quantificational,Reflexive_and_Reciprocal,Tense","number,pragmatic,TAM+,valence",13,10,"medium","high",15,12,"high",FALSE,"distributive",,,TRUE,TRUE,,"A-default,B-default,U-default",28,,"high",,
27,,,"Aspect,Polarity,Posterior,Quantificational,TA","number,operators,TAM+",9,6,"medium","medium",10,7,"medium",FALSE,"cumulative",,,FALSE,TRUE,,"A-default,B-default,U-default",19,,"medium",,
668,TRUE,,"Aspect,Status,Tense","TAM+",5,3,,"medium",6,,"low",TRUE,"distributive",TRUE,,FALSE,FALSE,,"A-default,U-default",11,,"low",TRUE,FALSE
2508,TRUE,,"Aspect,Mood,Polarity,Tense","operators,TAM+",6,4,"low","medium",6,4,"low",FALSE,"separative",,,TRUE,TRUE,,"A-default",12,,"medium",,
132,,,"Aspect,Connective,Evidential,Polarity,Switch_reference","evidential,inter-clausal,operators,TAM+",8,,,"medium",4,,"low",TRUE,"cumulative",TRUE,TRUE,TRUE,TRUE,TRUE,"A-default,B-default,T-default",12,TRUE,"medium",TRUE,TRUE
135,,,"Aspect,Evidential,Number,Potentialis,Quantificational,Referential,Status,Switch_reference,Tense","evidential,inter-clausal,number,pragmatic,TAM+",13,10,"medium","high",15,12,"high",FALSE,"distributive",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",28,TRUE,"high",,
2873,TRUE,FALSE,"Aspect,Mood,Polarity,Tense","operators,TAM+",6,4,"low","medium",9,4,"medium",TRUE,"distributive",FALSE,,FALSE,TRUE,,"A-default,U-default",15,TRUE,"medium",TRUE,TRUE
464,TRUE,FALSE,"TAM,Voice","TAM+,valence",5,2,"low","medium",5,2,"low",FALSE,"separative",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",10,TRUE,"low",,
79,TRUE,FALSE,"Polarity,TAM","operators,TAM+",5,2,"low","medium",6,2,"low",FALSE,"distributive",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",11,TRUE,"low",,
