"LID","AUTOTYPLabel","Behavior.binned4","Behavior.spreading.Presence","Behavior","Coexponence.CaseNumber.Presence","Coexponence.CaseReference.Presence","Domain","Exemplar","Polyexponence.Presence","Exponence.n","Exponence","Flexivity.Presence","FlexivityFormative","Form","Fusion.binned6","Fusion","Fusion.isolating.Presence","Fusion.nonlinear.Presence","Fusion.reduplicative.Presence","Fusion.tonal.Presence","FlexivityLexical.Presence","Locus.binned6","Locus","Locus.binned5","HostRestrictions.binned.restricted","MorphemeType","MorphemeType.Word.Presence","PersonPortmanteau.Presence","Placement","Position.post.Presence","Position.binned4","Position","Position.binned5","Position.pre.Presence.v1","Position.pre.Presence.v2","Position.simul.Presence.v1","Position.simul.Presence.v2","HostRestrictions","Slot","SourceOfMarking","FlexivityStem","OppositionWithZero.Presence","HostMacroCat","HostType","HostCat"
669,"PAST PFV",,,,,,"#ANY#","TAM",TRUE,4,"Number;Person;Role;Tense",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
500,"<none>",,,,,,"#ANY#","CASE",,0,"n/a",,,"zero",,"n/a",,"NA",,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
496,"PLURAL",,,,,,"#ANY#","Noun Plural",FALSE,1,"Number",,,,"reduplicative","reduplicative",FALSE,"nonlinear","reduplicative",FALSE,,,,,,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
668,"PAST",,,,,,"#ANY#","TAM",FALSE,1,"Tense",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,,TRUE,"split","prae/post","split",TRUE,FALSE,FALSE,FALSE,,,,,,,,"#ANY#"
365,"NEG","initial",FALSE,"initial",,,"#ANY#","NEG",FALSE,1,"Polarity",,,"nó~n","isolating","isolating",TRUE,"linear","non-reduplicative",FALSE,,"n/a","<n.a.>","n/a","restricted","PoSWd",TRUE,,,FALSE,"prae","prae","prae",TRUE,TRUE,FALSE,FALSE,"restricted",,"free",,,"any","phrasal","XP"
101,"<none>",,,,,,"#ANY#","Noun Plural",,0,,,,,,,,,,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
100,"POSS-PRO",,,,,,"#ANY#",,TRUE,2,"Gender;Role",,,,,,,,,,,"D on H","D on H","FloatingorClitic","(partially) unrestricted","PoSWd",TRUE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"unrestricted",,,,,"any","terminal","<any>"
128,"ABL",,,,,,"#ANY#",,,0,,,,,,,,,,,,"D","D","D",,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
363,"PLURAL",,,,,,"#ANY#","Noun Plural",FALSE,1,"Number",,,,,,,,,,,,,,,,,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,,,,,,,,"#ANY#"
493,"PLURAL",,,,,,"#ANY#","Noun Plural",FALSE,1,"Number",TRUE,"lex-based",,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,TRUE,,,,,"formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,,,,,,,,"#ANY#"
