"LID","VInflAktionsart.Position","VInflApplicative.Position","VInflAspect.Position","VInflCausative.Position","VInflClassifier.Position","VInflConnective.Position","VInflConstruct.Position","VInflControl.Position","VInflDeixis.Position","VInflVoice.Position","VInflFocus.Position","VInflPosterior.Position","VInflGender.Position","VInflIllocution.Position","VInflMA.Position","VInflMN.Position","VInflModality.Position","VInflMood.Position","VInflMotion.Position","VInflMSE.Position","VInflNominalizer.Position","VInflNumber.Position","VInflPerson.Position","VInflPolarity.Position","VInflPotentialis.Position","VInflQuantificational.Position","VInflReflexive_and_Reciprocal.Position","VInflRECIP.Position","VInflReferential.Position","VInflReflexive.Position","VInflRepetition.Position","VInflReversative.Position","VInflSemistem.Position","VInflSpatial.Position","VInflStatus.Position","VInflSwitch_reference.Position","VInflTense_and_Evidential.Position","VInflTA.Position","VInflTAM.Position","VInflTense.Position","VInflTM.Position","VInflValence.Position","VInflVersion.Position"
481,,,"post",,,,,,"prae","post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,,"prae"
491,,,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
495,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,"post",
498,,,"prae",,,,,,,"prae","prae",,,,,,,,,,,"post",,"prae",,,"prae",,,,"prae",,,,,,,,,"prae",,,
498,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
501,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,,
511,,,"post",,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,
514,,"post","post",,,,,,,,,,,,,,,,,,,,,"post",,"post","post",,,,,,,,,,"post",,,,,,
515,,,,,,,,,,,,,,"post",,,,,,,,,,"post",,,,,,,,,,,,,,,"prae",,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
526,,,"post",,,,,,"post",,,,,,,,,"post",,,,"post",,"post",,,,,,,,,,,,,,,,"post",,,
527,,,"post","post",,,,,,"post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,"post",,
528,,,,,,,,,,,,,,,,,,,,,,,,"post",,"post",,,,,,,,,,,,,,,"post",,
530,,,,,,,,,,,,,,"post",,,,,,,,"in","post","post",,,,,,,,,,,,,,,,"post",,,
533,"post",,"post",,,,,,,,,,,,,,,"post","post",,,,,"post",,,,,,,,,,,,,,,,"post",,,
540,,,"post",,,,,,,,,,,,,,,,,,,,,"simul (prae)",,,,,,,,,,,,,,,"prae",,,,
545,,,"prae",,,,,,,,,,,,,,"prae",,,,,,,"prae",,,,,"post",,,,,,"prae",,,,,,,,
549,,,"prae",,,,,,,,,,,,,,,,,,,,,"prae",,,"post",,,,,,,,,,,,,,"post",,
551,,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,"post",,,,,,"circum",,,,,,,,,,,,,,"post",,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
567,,,,,,,,,,,,,,,,,"post",,,,,"post",,"post",,,,,,,,,,,,,,,,"post",,,
568,"in",,"post",,,,,,,,,,,,,,,"post",,,,"post",,,,"in",,,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
571,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"prae",,,,
580,"prae","post",,,,,,,"post","post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
581,,,,"post",,,,,,"prae",,,,,,"prae",,,,,,,,,,,"post",,,,,,,,,,,,"post","prae",,,
582,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,"post",,,
583,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,"in",,,,,
608,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
612,,,,,,,,,,"post",,,,,,,,"post",,,,,,"post",,"post",,,,,,,,,,,,,,,"post",,
619,"post",,"post",,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,
620,,,,,,,,,,,"post",,,,,,,,,"prae",,,,,,,"post",,,,,,,,,,,"post",,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
628,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,"post",
629,,,,,,,,,,,,,,"post",,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
633,,,"post","post",,,,,,,,,,"post",,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
635,"post",,,,,,,,,"post",,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,"post",,,,
641,,,"post","post",,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,"post",,
642,,,,,,,,,,"prae",,,,,,,,,,,,,,"circum",,,,,,,,,,,,,,"prae",,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in",,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,"simul",,"post",,,,,,,,,,,,"post",,,,,
646,,,"post",,,,,,,,,,,,,,,,,,,"in",,"post",,,,,,,,,,,,,,,,,,,
648,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
654,"prae",,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
655,,"prae","prae",,,,,,"prae",,,,,,,,,,,,,,,,,"prae","post",,,,,,,"prae",,,,,"post",,,,
656,,,"in",,,,,,,,,,,,,,,,,,,,,"simul",,,,,,,,,,,"post","post",,,,,,,
656,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,"prae",,,,,,,,,,,,"post",,,,
662,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
663,,,,,,,,,"post","prae",,,,,,,,"prae",,,,,,"prae",,,,,,,,,,,,,,"post",,,,,
663,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,,,,,,,,,,"prae","post",,,"post",,,,,,"prae",,,,,,,,,,,,,,,,,"post",,
667,,,"post",,,,,,,,,,,,,,,"post",,,"post",,,"prae",,,,,,,,,,,,,,,,"post",,,
668,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,"prae/post",,,
669,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
