"LID","NPAgrCat","NPAlienability.Presence","NPAlienabilityType","NPHeadSemConstraints","NPMarking.binned5","NPDepCatConstraints","NPHeadSemClassSize.n","NPMarkersLabel","NPMarking.binned4","NPHeadlessness","NPMarking.overt.Presence","NPMarking","NPLabel","NPDepSemConstraints.binned4","NPDepSemConstraints","NPHeadSemConstraints.Presence","NPHeadSemSpecial","NPWordOrder"
113,,TRUE,"inalienable","body parts,kin terms,property",,,3,"","agreement/class marker",,TRUE,"Dep-driven agreement",461,,,TRUE,"Derived terms for some abstract qualities (‘length’, ‘weight’) and states or activities (‘death’, ‘breath, breathing’) (Applegate 235-7)",
345,,TRUE,"inalienable","body parts,kin terms,property",,,3,"182","agreement/class marker",,TRUE,"Dep-driven agreement",253,,,TRUE,"‘house’",
78,"Number,Role",FALSE,"neutral","neutral","agreement","Adj,DEM,Num,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",569,,,FALSE,,"Dependent-Head"
354,,TRUE,"inalienable","body parts,kin terms,property",,,3,"412,414","mixed",,TRUE,"Dep-driven agr. + Construct state",263,"neutral","neutral",TRUE,"plant parts","Dependent-Head"
35,,TRUE,"alienable","alienable",,"N_or_Pro",1,"395","government",,TRUE,"Governed",350,"pragmatic","non-specific",TRUE,,"Dependent-Head"
135,,TRUE,"alienable","alienable",,"N_or_Pro",1,"607","agreement/class marker",,TRUE,"Dep-driven agreement",410,,,TRUE,,
79,"Gender,Number",FALSE,"neutral","neutral",,"N_or_Pro",1,"140","mixed","OK",TRUE,"Dep-driven agr. + Governed",79,,,FALSE,,"Head-Dependent"
505,,TRUE,"alienable","alienable",,"N_or_Pro",1,"585","agreement/class marker",,TRUE,"Dep-driven agreement",393,"neutral","neutral",TRUE,,"Dependent-Head"
550,"Number",,,,,"Num",0,"964","agreement/class marker","OK",TRUE,"Dep-driven agreement",575,,,,,"Head-Dependent"
438,,TRUE,"alienable","alienable",,"N_or_Pro,S",1,"475","government","ungrammatical",TRUE,"Governed",192,,,TRUE,,"Head-Dependent"
717,,FALSE,"neutral","neutral",,"Adj",1,"","mixed","OK",TRUE,"HDAgr+NMLZ",1027,"pragmatic","specific",FALSE,,"Dependent-Head"
706,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",611,"neutral","neutral",FALSE,,"Dependent-Head"
156,,TRUE,"unpossessible","edible,plants,rocks",,,3,"",,,FALSE,"Bare noun",592,,,TRUE,,
677,,FALSE,"neutral","neutral",,"N",1,"1547","government",,TRUE,"Governed",636,,,FALSE,,"Dependent-Head"
89,,TRUE,"alienable","animals,singular",,,3,"495,496","construct markers",,TRUE,"Dep-driven agr. + Class/poss. noun",343,,,TRUE,"“elements of the physical world”",
81,"Number",,,"human","agreement","Adj",1,"","agreement/class marker",,TRUE,"Head-driven agreement",858,,,TRUE,,"Head-Dependent"
40,,TRUE,"inalienable","body parts,kin terms,volitional",,"N_or_Pro",3,"129,130","mixed",,TRUE,"Dep-driven agr. + Governed",49,"neutral","neutral",TRUE,"'dream', 'bedding', 'staff', ‘voice’, ‘name’, ‘habit’, ‘desire’, ‘anger’, ‘shadow’, ‘cattle’

BUT NOT ‘throat’, ‘skin’, ‘vein’ and reduplicated kin terms","Dependent-Head"
89,,TRUE,"inalienable","body parts,kin terms,volitional",,,3,"",,,,,595,,,TRUE,"‘name’, ‘soul’, ‘dream’, ‘place’ (V-C 2001:61, 64",
428,,TRUE,"inalienable","body parts,kin terms",,,2,"671","agreement/class marker",,TRUE,"Dep-driven agreement",1056,,,TRUE,,
381,,TRUE,"inalienable","body parts,kin terms",,"N",2,"198",,,,,296,,,TRUE,,
378,,TRUE,"inalienable","kin terms",,"N",1,"244","agreement/class marker",,TRUE,"Dep-driven agreement",294,,,TRUE,,"Free"
191,,TRUE,"alienable","neutral",,"N",1,"177","government",,TRUE,"Governed",200,,,FALSE,,"Dependent-Head"
654,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"","agreement/class marker",,TRUE,"Dep-driven agreement",1059,"referentiality","human",TRUE,"other close possessions",
137,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"367",,,,,1058,,,TRUE,,
381,,TRUE,"inalienable","body parts,kin terms",,"Pro",2,"197",,,,,297,,,TRUE,,
196,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"",,,,,1060,,,TRUE,,"Head-Dependent"
103,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"159",,,,,99,,,TRUE,,
379,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",533,,,TRUE,"“a few others”",
635,,TRUE,"inalienable","body parts,kin terms",,"Pro",2,"","agreement/class marker",,TRUE,"Dep-driven agreement",808,,,TRUE,,"Dependent-Head"
494,,FALSE,"neutral","neutral","juxtaposition","Adj,N_or_Pro",1,"",,,FALSE,"Juxtaposition",390,"neutral","neutral",FALSE,,"Head-Dependent"
408,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"255",,,,,329,"referentiality","animate",TRUE,,
84,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"",,,,,84,,,TRUE,,"Head-Dependent"
181,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"232","agreement/class marker",,TRUE,"Dep-driven agreement",191,,,TRUE,,"Head-Dependent"
373,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"",,,,,291,,,TRUE,,
191,,TRUE,"inalienable","kin terms",,,1,"178","agreement/class marker",,TRUE,"Dep-driven agreement",531,,,TRUE,"More precisely, this is reciprocal kin terms.",
149,,TRUE,"inalienable","kin terms",,"2_or_3Pro",1,"221","agreement/class marker",,TRUE,"Pronominal agreement",159,,,TRUE,"kin terms include 'peer, agemate', ‘namesake’",
177,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"312",,,,,181,,,TRUE,,
2120,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",689,"neutral","neutral",FALSE,,"Dependent-Head"
103,,TRUE,"alienable","body parts,kin terms",,"N",2,"160",,,,,100,,,TRUE,,
369,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"194",,,,,288,,,TRUE,"a few others",
504,,,,"neutral","agreement","Adj,N,V",1,"541","agreement/class marker",,TRUE,"Head-driven agreement",370,"neutral","neutral",FALSE,,"Head-Dependent"
21,,FALSE,"neutral","neutral","juxtaposition","Adj,DEM,Num",1,"",,,FALSE,"Juxtaposition",583,,,FALSE,,"Dependent-Head"
