"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
386,"H","default","H","POSS","#ANY#","H","POSS-default"
386,"H","default","H","S","#ANY#","H","S-default"
386,"H","default","H","P","#ANY#","H","U-default"
387,"2","default","H+D","A","#ANY#","2","A-default"
387,"D","default","D","P","#ANY#","D","B-default"
387,"D","default","D","P","#ANY#","D","U-default"
387,"2","default","H+D","POSS","#ANY#","2","POSS-default"
387,"2","default","H+D","S","#ANY#","2","S-default"
387,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
388,"H","default","H","A","#ANY#","H","A-default"
388,"H","default","H","POSS","#ANY#","H","POSS-default"
388,"H","default","H","S","#ANY#","H","S-default"
388,"D","conditioned","d","ATTR","#ANY#","D","ATTR-default"
388,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
388,"H","default","H","P","#ANY#","H","U-default"
390,"H","conditioned","H","POSS","N-inal","H","POSS-default"
390,"D","default","D","P","#ANY#","D","B-default"
390,"H","default","H","A","#ANY#","H","A-default"
390,"D","default","D","POSS","#ANY#","D","POSS-default"
390,"H","default","H","S","#ANY#","H","S-default"
390,"H","default","H","P","#ANY#","H","U-default"
391,"D","conditioned","D","POSS","N-inal","D","POSS-default"
391,"D","default","D","A","#ANY#","D","A-default"
391,"D","default","D","P","#ANY#","D","B-default"
391,"D","default","DD","POSS","#ANY#","D","POSS-default"
391,"D","default","D","S","#ANY#","D","S-default"
391,"D","default","D","P","#ANY#","D","U-default"
393,"D","conditioned","D","POSS","Pro","D","POSS-default"
393,"H","default","H","A","#ANY#","H","A-default"
393,"H","default","H","POSS","#ANY#","H","POSS-default"
393,"H","default","H","S","#ANY#","H","S-default"
393,"H","default","h","P","#ANY#","H","U-default"
393,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
395,"Ø","conditioned","Ø","POSS","Pro","Ø","POSS-default"
395,"H","default","H","A","#ANY#","H","A-default"
395,"H","default","H","S","#ANY#","H","S-default"
395,"H","default","H","POSS","#ANY#","H","POSS-default"
395,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
395,"Ø","default","Ø","P","#ANY#","Ø","U-default"
395,"D","conditioned","d","ATTR","#ANY#","D","ATTR-default"
397,"H","default","H","A","#ANY#","H","A-default"
397,"H","default","H","S","#ANY#","H","S-default"
397,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
397,"Ø","default","Ø","P","#ANY#","Ø","U-default"
398,"Ø","conditioned","Ø","POSS","N-inal","Ø","POSS-default"
398,"D","default","D","A","#ANY#","D","A-default"
398,"D","default","D","P","#ANY#","D","B-default"
398,"D","default","D","POSS","#ANY#","D","POSS-default"
398,"D","default","D","S","#ANY#","D","S-default"
398,"D","default","D","P","#ANY#","D","U-default"
399,"D","default","d","A","Pro","D","A-default"
399,"D","default","d","P","Pro","D","U-default"
399,"D","default","d","S","Pro","D","S-default"
399,"D","default","D","P","#ANY#","D","B-default"
399,,"default","H/D","POSS","#ANY#","2","POSS-default"
400,"2","default","H+D","A","#ANY#","2","A-default"
400,"D","default","D","POSS","#ANY#","D","POSS-default"
400,"2","default","H+D","S","#ANY#","2","S-default"
400,"2","default","H+D","P","#ANY#","2","U-default"
401,"2","default","H+D","A","#ANY#","2","A-default"
401,"D","default","D","P","#ANY#","D","B-default"
401,"D","default","D","POSS","#ANY#","D","POSS-default"
401,"2","default","H+D","S","#ANY#","2","S-default"
401,"2","default","H+D","P","#ANY#","2","U-default"
402,"H","default","H","A","#ANY#","H","A-default"
402,"D","default","D","P","#ANY#","D","B-default"
402,"H","default","H","S","#ANY#","H","S-default"
402,"H","default","H","POSS","#ANY#","H","POSS-default"
402,"H","default","h","P","#ANY#","H","U-default"
402,"H","default","H","ATTR","#ANY#","H","ATTR-default"
404,"2","default","H+D","A","#ANY#","2","A-default"
404,"2","default","H+D","P","#ANY#","2","B-default"
404,"H","conditioned","H","POSS","#ANY#","H","POSS-default"
404,"2","default","H+D","S","#ANY#","2","S-default"
404,"D","default","D","POSS","#ANY#","D","POSS-default"
