"LID","VInflAktionsart.Position.binned4","VInflApplicative.Position.binned4","VInflAspect.Position.binned4","VInflCausative.Position.binned4","VInflClassifier.Position.binned4","VInflConnective.Position.binned4","VInflConstruct.Position.binned4","VInflControl.Position.binned4","VInflDeixis.Position.binned4","VInflVoice.Position.binned4","VInflFocus.Position.binned4","VInflPosterior.Position.binned4","VInflGender.Position.binned4","VInflIllocution.Position.binned4","VInflMA.Position.binned4","VInflMN.Position.binned4","VInflModality.Position.binned4","VInflMood.Position.binned4","VInflMotion.Position.binned4","VInflMSE.Position.binned4","VInflNominalizer.Position.binned4","VInflNumber.Position.binned4","VInflPerson.Position.binned4","VInflPolarity.Position.binned4","VInflPotentialis.Position.binned4","VInflQuantificational.Position.binned4","VInflReflexive_and_Reciprocal.Position.binned4","VInflRECIP.Position.binned4","VInflReferential.Position.binned4","VInflReflexive.Position.binned4","VInflRepetition.Position.binned4","VInflReversative.Position.binned4","VInflSemistem.Position.binned4","VInflSpatial.Position.binned4","VInflStatus.Position.binned4","VInflSwitch_reference.Position.binned4","VInflTense_and_Evidential.Position.binned4","VInflTA.Position.binned4","VInflTAM.Position.binned4","VInflTense.Position.binned4","VInflTM.Position.binned4","VInflValence.Position.binned4","VInflVersion.Position.binned4"
545,,,"prae",,,,,,,,,,,,,,"prae",,,,,,,"prae",,,,,"post",,,,,,"prae",,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
551,,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"post",,,,
567,,,,,,,,,,,,,,,,,"post",,,,,"post",,"post",,,,,,,,,,,,,,,,"post",,,
568,"in/simul",,"post",,,,,,,,,,,,,,,"post",,,,"post",,,,"in/simul",,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,"prae",,,,
580,"prae","post",,,,,,,"post","post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
581,,,,"post",,,,,,"prae",,,,,,"prae",,,,,,,,,,,"post",,,,,,,,,,,,"post","prae",,,
582,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,"post",,,
583,,,,,,,,,,"in/simul",,,,,,,,,,,,,,,,,,,,,,,,,,,,"in/simul",,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
612,,,,,,,,,,"post",,,,,,,,"post",,,,,,"post",,"post",,,,,,,,,,,,,,,"post",,
619,"post",,"post",,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,
620,,,,,,,,,,,"post",,,,,,,,,"prae",,,,,,,"post",,,,,,,,,,,"post",,,,,
632,,,,,,,,,,,,,,"post",,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
633,,,"post","post",,,,,,,,,,"post",,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
635,"post",,,,,,,,,"post",,,,,,,,,,,,,,,,"in/simul",,,,,,,,,,,,,"post",,,,
641,,,"post","post",,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,"post",,,
642,,,,,,,,,,"prae",,,,,,,,,,,,,,"in/simul",,,,,,,,,,,,,,"prae",,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in/simul",,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,"in/simul",,"post",,,,,,,,,,,,"post",,,,,
646,,,"post",,,,,,,,,,,,,,,,,,,"in/simul",,"post",,,,,,,,,,,,,,,,,,,
648,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
654,"prae",,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
655,,"prae","prae",,,,,,"prae",,,,,,,,,,,,,,,,,"prae","post",,,,,,,"prae",,,,,"post",,,,
658,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,"prae",,,,,,,,,,,,"post",,,,
668,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,"split",,,
669,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,"prae",,,,,"prae",,,,,"post",,,"prae",,,,,,,"prae",,,,"prae",,"prae",,,,,,,,,,"post",,,"prae"
677,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
678,,,"split",,,,,,,,,,,,,,,"split",,,,,,,,,"split",,,,,,,,,,"split",,"split",,,,
679,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
680,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,
681,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,
683,,,,,,,,,,,,,,,,,,"split",,,,,,,,,"split",,,,,,,,,,,,"split",,,,
685,,,"post","prae",,,,,,,,,,,,,,,"post",,,,,,,"prae","prae",,,,,,"prae","post",,,,,,,,,
685,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,
686,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,,,,
