LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
764,atac1235,Esmeralda,,"Esmeraldeño, Esmeralda, Tacame, Atacame",Esmeralda,"Tacame, Esmeraldeño, Atacame",,,,,,,,-79.83,0.33,,,,not hg,South America,S America,Andean,Americas
765,opat1246,Eudeve,opt,Eudeve,Uto-Aztecan,,,,Southern Uto-Aztecan,Sonoran,,,,-109.67,29.17,,,,,North America,C America,Mesoamerica,Americas
766,fris1239,Frisian,,Frisian,Indo-European,,,Indo-Uralic,Germanic,West Germanic,Frisian,,,5,53,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
767,galo1242,Gallong,adl,"Gallong, Adi, Adi-Gallong, Adi-Galo, Gallong, Galong",Sino-Tibetan,,,,Tani,Western Tani,,,,94.67,28.17,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
769,cari1279,Guaque,cbd,Guaque,Cariban,Carib,,,,,,,,-72.08,1,,,,,South America,S America,NE South America,Americas
770,hong1241,Sign Language Hong Kong,hks,Sign Language Hong Kong,Sign Language Hong Kong,,,,,,,,,114,22.5,,,signed,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
772,inte1259,Sign Language International,ils,Sign Language International,Sign Language International,,,,,,,,,,,,,signed,,,,,
773,nyun1247,Juat,nys,Juat,Pama-Nyungan,,,Macro-Pama-Nyungan,Southwestern Pama-Nyungan,Nyungic,,,,115.5,-31,,,,,Australia,Australia,S Australia,Pacific
774,kara1289,Karankawa,zkk,Karankawa,Karankawa,,,,,,,,,-97,28,,,,not hg,North America,E N America,Basin and Plains,Americas
775,kaur1267,Kaurna,zku,Kaurna,Pama-Nyungan,,,Macro-Pama-Nyungan,Southwestern Pama-Nyungan,Yura,,,,138.5,-34.25,,,,,Australia,Australia,S Australia,Pacific
776,main1275,Kenyah (Umaí Lung),xkl,Kenyah (Umaí Lung),Austronesian,,,,Malayo-Polynesian,Western Malayo-Polynesian non-clade,,,,115.83,3,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
777,kott1239,Kott,zko,Kott,Yeniseian,,,,,,,,,94,57,,,,hg,Eurasia,N-C Asia,Inner Asia,Eurasia
778,krio1252,Kriol (Fitzroy Crossing),rop,Kriol (Fitzroy Crossing),Kriol (Fitzroy Crossing),,,,,,,,creole,125.58,-18.17,,,,,Australia,Australia,N Australia,Pacific
779,kual1252,Kuala,bjn,Kualan,Austronesian,,,,Malayo-Polynesian,Western Malayo-Polynesian non-clade,Malayan / Malayic,,,110.42,-0.42,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
780,kwaz1243,Kwazá,xwa,"Kwaza, Koaia, Kwazá, Arara",Kwaza,,,,,,,,,-60.67,-12.58,,,,,South America,S America,NE South America,Americas
781,jord1238,Lughat al-Isharat al-Lubnaniya,jos,Lughat al-Isharat al-Lubnaniya,Lughat al-Isharat al-Lubnaniya,,,,,,,,,35.83,34,,,signed,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
